Gene,Mean_Control,Mean_Disease,FoldChange,log2FoldChange,p_value,adj_p_value
Gene_284486,1.6790393781250001,1.497797890875,0.8920564403603242,-0.16479310262073418,0.06688686982757767,0.609054747878166
Gene_3439,1.7092065084999999,1.38874138,0.8125064894696427,-0.2995487590425595,0.06689443567941265,0.609054747878166
Gene_80149,1.629172060125,1.8153484039999999,1.114276661398622,0.1561074808584895,0.06684897831952258,0.609054747878166
Gene_10059,3.866389645,3.7249175922499997,0.9634097786980804,-0.05377852740047331,0.0669645847622457,0.6093910079603967
Gene_60412,3.4027836044999997,3.351370527875,0.9848908768230196,-0.021964208072093098,0.0670026555475302,0.6094351604734699
Gene_80230,2.9681602414999997,3.02812669375,1.020203239505592,0.02885658692104009,0.0681496785982655,0.6101687884272359
Gene_55260,1.615587256125,1.3959373776250001,0.8640433206765743,-0.21082444805592604,0.0679741631664261,0.6101687884272359
Gene_8463,1.6308503465,1.9349373028749999,1.1864591420222015,0.24666241943882178,0.06877726990466357,0.6101687884272359
Gene_5789,4.120161989,4.029521035125,0.9780006334418421,-0.03209269528949718,0.06771638141680394,0.6101687884272359
Gene_91860,1.5468246419999998,1.6545304648749999,1.0696302734974144,0.09711220338470045,0.06865032002711513,0.6101687884272359
Gene_585,3.2789393163750002,3.1660870215,0.965582682695158,-0.050528292669583946,0.0681798049051193,0.6101687884272359
Gene_5866,1.838702836125,1.989304056125,1.0819062314155052,0.11357546650854149,0.06735483685330632,0.6101687884272359
Gene_55230,3.294787733625,3.193816457875,0.9693542395100186,-0.04490411635479739,0.06853580665287978,0.6101687884272359
Gene_4017,1.884101579625,2.0374201528750002,1.0813748976743154,0.11286677214738963,0.06720048692863334,0.6101687884272359
Gene_100131211,2.1730555975,2.017193363,0.9282750820184665,-0.10737570262066924,0.06869782057693995,0.6101687884272359
Gene_26782,1.355275743,1.070518932625,0.7898901298530804,-0.34027610000210584,0.0687402807868995,0.6101687884272359
Gene_5066,3.708947819,3.5972987806249996,0.9698973822702356,-0.044095980496254523,0.06836570824411126,0.6101687884272359
Gene_54952,2.528234233,2.6203500201249996,1.0364348310463682,0.05162940551435736,0.06845124461911149,0.6101687884272359
Gene_374977,2.68393133775,2.455848491625,0.9150191203042448,-0.12812620451810777,0.06738912053799447,0.6101687884272359
Gene_8459,1.6906551015,1.9136377961250002,1.1318912973007702,0.17873541366863696,0.06756092363377299,0.6101687884272359
Gene_2271,3.330116139,3.18955422025,0.9577906857049708,-0.06221768912404231,0.06726379334205589,0.6101687884272359
Gene_84054,2.4740234677500004,2.305307202,0.931804904864771,-0.10190017031622571,0.06865809830269419,0.6101687884272359
Gene_5797,3.7430666065000002,3.6477040572500004,0.97452288209769,-0.03723203408219111,0.06755474137575347,0.6101687884272359
Gene_1780,3.4575845185,3.267580839625,0.9450472785673424,-0.081541588994438,0.06831257704852121,0.6101687884272359
Gene_7127,2.255733946625,2.1421682616249997,0.949654663321481,-0.07452511416927086,0.06823974590087006,0.6101687884272359
Gene_23035,3.241833108125,3.1980454265000002,0.9864929254022193,-0.019619390135925303,0.06780513522544206,0.6101687884272359
Gene_9725,3.8027568986249998,3.5529040321250003,0.934296913223577,-0.09804699338516272,0.06876244702091233,0.6101687884272359
Gene_8666,2.60950074625,2.71531109975,1.0405481215715517,0.05734368602211011,0.06818021002831261,0.6101687884272359
Gene_105378260,1.081469551875,1.215937092875,1.1243377964426893,0.16907554448897907,0.06730101317805211,0.6101687884272359
Gene_9054,2.673421017625,2.596780883,0.9713325607453012,-0.04196277082322543,0.06816933643199785,0.6101687884272359
Gene_5048,4.0214335942499995,3.929219056,0.9770692376017718,-0.03346729604533863,0.06874978817529423,0.6101687884272359
Gene_466,2.40460815525,2.540436563,1.056486711755279,0.07927462150349802,0.06717362971628282,0.6101687884272359
Gene_112611,1.98438537,1.8408935468749998,0.9276895378819487,-0.10828602347586873,0.068160888027389,0.6101687884272359
Gene_112268313,2.6846023541250004,2.815161245,1.0486324876659632,0.06850914777076945,0.06851988796903107,0.6101687884272359
Gene_58526,2.321450521,2.557348603375,1.101616674678633,0.13962230218001828,0.06816800759506392,0.6101687884272359
Gene_105371814,1.262928701875,1.4629421484999998,1.1583727144121843,0.21209952510467567,0.06882847029428402,0.6101687884272359
Gene_643862,3.144798742875,3.000991812625,0.9542714997022257,-0.0675283092135006,0.06880698302591572,0.6101687884272359
Gene_83475,1.733017095875,1.879328456,1.0844258031113811,0.11693134656006494,0.06799312710702048,0.6101687884272359
Gene_119587,2.467048391625,2.246398,0.9105609795194728,-0.135172458350299,0.06878444339872522,0.6101687884272359
Gene_102725021,2.4065946384999997,2.220000675125,0.922465561756881,-0.11643304258692806,0.06825713731839604,0.6101687884272359
Gene_728419,1.6176233435,1.2719377507499998,0.786300318835625,-0.3468476555037142,0.06845610958630591,0.6101687884272359
Gene_896,2.350243359125,2.5388233346249995,1.080238488821944,0.11134985744189825,0.06796950575403118,0.6101687884272359
Gene_51631,3.13795094975,3.039448735875,0.9686093838137121,-0.04601311516078253,0.06879849574191095,0.6101687884272359
Gene_54859,2.40317036175,2.3113597446250003,0.9617960430162168,-0.05619710414122717,0.06884603684968812,0.6101687884272359
Gene_51281,2.45238787225,2.2866938020000003,0.9324356183110708,-0.10092397954620004,0.06880983829156764,0.6101687884272359
Gene_5216,2.601643644375,2.773632185125,1.0661076474181448,0.09235311779261639,0.06854632960800028,0.6101687884272359
Gene_5516,3.6308482900000003,3.703422517375,1.019988229079932,0.028552503230108366,0.06869439085658817,0.6101687884272359
Gene_56954,2.7763628291249995,2.609283034,0.9398206194909847,-0.08954267433809956,0.06785010018433273,0.6101687884272359
Gene_2204,1.047023168125,1.63639182175,1.5628993431735005,0.644224866129902,0.06760962327502892,0.6101687884272359
Gene_79829,2.3770553411249997,2.2790669552500002,0.9587774065753875,-0.0607321823601568,0.06826384939873727,0.6101687884272359
Gene_105371855,1.15679940475,1.344504330625,1.1622622946590861,0.21693568707423783,0.06724450815033728,0.6101687884272359
Gene_440926,1.9963025436250001,2.087799207375,1.0458330647537295,0.0646525878448712,0.06802008438424523,0.6101687884272359
Gene_55729,3.4723383775,3.421515449125,0.985363486259196,-0.021272082917390054,0.06843993224439086,0.6101687884272359
Gene_1564,2.554288099,2.352562370625,0.9210246767175655,-0.11868828438928554,0.06881342254860572,0.6101687884272359
Gene_10768,4.174132188374999,4.0589586217499996,0.9724077816831581,-0.040366656322467276,0.06786365360317559,0.6101687884272359
