Gene,Mean_Control,Mean_Disease,FoldChange,log2FoldChange,p_value,adj_p_value
Gene_7050,2.434142468,2.781108805,1.142541508,0.192246579,0.001355196,0.277382736
Gene_10099,3.400913083,3.301457665,0.97075626,-0.04281899,0.001399852,0.277382736
Gene_115004,1.450842427,1.753263001,1.20844481,0.273151586,0.001557426,0.277403283
Gene_5880,1.643573198,2.113616587,1.285988716,0.362877984,0.001552933,0.277403283
Gene_23048,3.531318601,3.38973314,0.959905781,-0.059035289,0.00164036,0.282781869
Gene_3718,2.171559516,2.641411469,1.216366142,0.282577564,0.001606391,0.282781869
Gene_101927559,1.53518212,2.009457019,1.308937222,0.388395905,0.001649278,0.282781869
Gene_3383,1.590477771,2.154586771,1.354678959,0.437950992,0.00163797,0.282781869
Gene_84842,1.236817533,1.014231726,0.820033432,-0.286245367,0.002097793,0.283071281
Gene_968,2.472690397,2.764591189,1.118049875,0.160984547,0.001812127,0.283071281
Gene_1356,2.880431082,3.428088069,1.190130217,0.251119434,0.002096161,0.283071281
Gene_3712,3.418506223,3.256858107,0.952713815,-0.069885185,0.001853957,0.283071281
Gene_6813,2.171097955,2.494099625,1.148773421,0.200094275,0.001831276,0.283071281
Gene_653238,3.212934821,3.536445757,1.100690165,0.138408419,0.001941167,0.283071281
Gene_5452,1.705851023,1.907332325,1.118111898,0.161064577,0.002060341,0.283071281
Gene_100131213,0.847870147,1.173097296,1.383581318,0.468407439,0.002081981,0.283071281
Gene_126364,1.07264889,1.399190592,1.304425526,0.383414578,0.001807893,0.283071281
Gene_5292,1.968795738,2.482162792,1.260751811,0.334284298,0.001985178,0.283071281
Gene_64432,3.018108296,2.889618165,0.957426931,-0.062765707,0.001753435,0.283071281
Gene_64098,2.294546356,2.604771165,1.135200933,0.18294768,0.001734076,0.283071281
Gene_283,1.230371996,1.628436559,1.323531879,0.404392945,0.001903891,0.283071281
Gene_283131,2.76768019,3.152294898,1.138966456,0.187725258,0.001755667,0.283071281
Gene_286183,2.517506523,2.294377217,0.911368926,-0.133892913,0.001972957,0.283071281
Gene_5777,2.426042312,2.650588384,1.092556536,0.127707936,0.002051533,0.283071281
Gene_9976,1.887083875,2.357611524,1.249341142,0.321167469,0.001907354,0.283071281
Gene_3824,1.240756951,1.538527086,1.239990704,0.310329305,0.002084293,0.283071281
Gene_55974,2.134379275,2.287710739,1.071838902,0.100088085,0.002065022,0.283071281
Gene_54584,0.909413124,1.242310039,1.366056862,0.450017537,0.001699752,0.283071281
Gene_3689,2.611139532,2.918251439,1.117616046,0.160424639,0.001679669,0.283071281
Gene_2215,1.595795188,2.140914017,1.341596988,0.423951355,0.002053974,0.283071281
Gene_4791,1.953872957,2.31362964,1.184124911,0.243821276,0.001921022,0.283071281
Gene_29107,1.532703215,1.721630717,1.123264243,0.167697356,0.001896336,0.283071281
Gene_23630,1.7800059,1.275677487,0.71667037,-0.480618386,0.001857033,0.283071281
Gene_84253,3.339833393,3.160493301,0.946302683,-0.079626379,0.002098424,0.283071281
Gene_5071,2.704256553,2.577063461,0.952965597,-0.069503962,0.001819777,0.283071281
Gene_10253,3.154196944,3.357559288,1.064473572,0.090140132,0.001840177,0.283071281
Gene_55647,0.804851292,1.363278905,1.69382707,0.760286591,0.001781124,0.283071281
Gene_6279,1.246212857,2.133654476,1.712110788,0.775776059,0.002126756,0.284799
Gene_7805,2.366546707,2.692825068,1.137871085,0.186337116,0.002288089,0.285604215
Gene_51106,2.776525808,2.642828769,0.951847363,-0.071197851,0.002185356,0.285604215
Gene_56606,1.87767103,2.08990103,1.113028319,0.1544903,0.002250362,0.285604215
Gene_10457,2.278631181,2.597420495,1.139903867,0.188912161,0.002220963,0.285604215
Gene_8793,1.876965528,2.373713156,1.264654636,0.338743453,0.002304013,0.285604215
Gene_9356,2.081112497,1.633341566,0.784840593,-0.349528434,0.002270076,0.285604215
Gene_6571,2.132853351,1.261769202,0.591587416,-0.757336732,0.002303357,0.285604215
Gene_285830,1.582511614,1.829573207,1.156119924,0.209291056,0.002153142,0.285604215
Gene_102724127,1.116358253,0.771708889,0.69127351,-0.532671452,0.002200246,0.285604215
Gene_8440,2.071233775,2.343349141,1.131378394,0.178081525,0.002300387,0.285604215
Gene_3903,1.933031996,2.198156562,1.137154773,0.185428627,0.002246898,0.285604215
Gene_10130,2.942233142,3.070236406,1.043505479,0.061438176,0.002376453,0.289063952
Gene_4772,1.66778595,2.01458747,1.207941265,0.272550306,0.002410704,0.289063952
