GeneId,GSM5213623,GSM5213624,GSM5213625,GSM5213626,GSM5213627,GSM5213628,GSM5213629,GSM5213630,GSM5213631,GSM5213632,GSM5213633,GSM5213634
Gene_9842,2.219724896,2.016406037,1.89661211,1.822281394,1.755421302,1.560539944,1.730636328,1.703171392,2.235147786,2.291176096,1.865514503,1.934034054
Gene_105369225,1.15192999,0.921500269,0.921222965,1.233435579,0.902686064,0.984159833,0.950232816,0.94112344,0.613456073,0.434785327,1.234362024,1.01846049
Gene_55073,1.716876193,1.807394418,1.75986732,1.931350409,1.986314839,1.85555518,1.896820075,1.880826703,2.058356976,1.844192722,1.922765908,1.858450383
Gene_644172,1.876126115,2.034458962,1.731233045,1.748098661,1.490914937,1.605101129,1.608380985,1.48262125,1.951973458,1.833356723,1.570363824,1.568455339
Gene_147081,2.291207281,2.473917976,2.510555859,2.468282117,2.333994233,2.540903745,2.284057128,2.391130303,2.391643756,2.422207962,2.627602708,2.388411561
Gene_104909134,1.317696362,1.787039787,1.742914267,1.762563279,1.633017541,1.653162441,1.608380985,1.661308391,1.766914481,1.5493358,1.570363824,1.697982818
Gene_100128977,0.880478823,1.362468562,0.957856317,1.424850362,1.652761121,1.596547181,1.258975322,1.255533718,0.752780102,1.691947116,1.348754576,1.837303901
Gene_4137,3.581387944,3.550504714,3.627114302,3.573336862,3.57725999,3.592379366,3.577285677,3.526821352,3.718933402,3.769970519,3.585039357,3.474039404
Gene_100130148,1.999618342,1.977879851,2.059892486,1.776561626,1.977266811,2.089097047,2.256377436,2.106558048,1.878248408,1.455479728,1.853885864,1.990850526
Gene_105371800,1.437379124,1.559461564,0.732768043,0.979215691,1.51806628,1.132578128,0.633354332,1.355071021,1.013639848,0.434785327,0.626419753,1.334127484
Gene_284058,3.209478106,3.155076043,3.180756951,3.121123541,3.125994802,3.141040086,3.164477824,3.117547659,3.388954136,3.407474527,3.130596543,3.194140073
Gene_644246,1.921305579,2.342271313,1.754289511,1.828436921,0.476813538,0.947248221,1.344643134,1.100311702,0.407080672,0,1.280858941,1.6749851
Gene_100506084,2.034045953,2.283316919,1.92404321,1.931350409,1.995178204,2.019955213,1.976294547,2.053527233,1.789396276,1.260394793,2.435183117,1.863579948
