GeneId,GSM2843848,GSM2843849,GSM2843850,GSM2843851,GSM2843852,GSM2843853,GSM2843854,GSM2843855,GSM2843856,GSM2843857,GSM2843858,GSM2843859,GSM2843860,GSM2843861,GSM2843862,GSM2843863
Gene_55904,3.793467041,3.86495432,3.906449215,3.940820954,3.849221009,3.903617946,3.764873512,3.763076592,3.802372319,3.897313612,3.845382271,3.785804446,4.043527162,3.962846474,3.880188277,3.838577301
Gene_6733,3.651075715,3.699678796,3.756978325,3.730683702,3.688339002,3.571203925,3.732530191,3.744371971,3.607303742,3.656026757,3.7544383,3.595296865,3.666990473,3.478516219,3.470290259,3.635658384
Gene_54517,2.582874422,2.52870084,2.54050469,2.622029932,2.523826231,2.5370744,2.468379672,2.459916623,2.439891365,2.651887564,2.699810244,2.514098258,2.776607029,2.687330378,2.362385348,2.482709469
Gene_60561,2.752313171,2.721513218,2.780332258,2.793087805,2.778974794,2.602438578,2.710784224,2.667309148,2.622707788,2.785882986,2.641360117,2.536826464,2.998326376,2.535491892,2.729870018,2.516852845
Gene_100130771,1.641258896,1.755012505,1.76312651,1.844951462,1.754134696,1.663349484,1.651131423,1.63318707,1.630163587,1.794859978,1.622597376,1.351231292,2.138173845,1.5142971,2.136308114,1.605366529
Gene_222255,2.675050813,2.608314863,2.6783663,2.569669403,2.608878224,2.641119113,2.513242296,2.574633895,2.628067842,2.547581302,2.508470633,2.64896079,2.46323551,2.488983367,2.729870018,2.650536137
Gene_222256,2.419304246,2.246038145,2.359530048,2.319568159,2.351938829,2.399977681,2.053033294,2.099819528,2.094420992,2.230537849,2.104372707,2.156413231,2.057518892,2.208220226,2.889254205,2.314286354
Gene_6856,2.851339446,3.062009747,3.033315189,3.165709467,3.055108282,3.090497236,3.122928742,3.147150602,3.256092425,3.068360468,3.104507714,3.165986638,3.174433536,3.039854597,2.870583238,2.973529061
Gene_10135,3.335046376,3.313177871,3.569214869,3.506020343,3.390324182,3.942208672,3.285381483,3.26588947,3.746507582,3.49205881,3.599070492,3.657874291,4.405291538,3.785903746,4.057978077,3.436507483
Gene_5294,2.046246883,2.074873803,2.018716537,1.975680679,2.039025432,1.75541682,1.934719132,2.06904086,1.7390099,2.356036965,2.176044473,2.010315447,2.435858688,2.259073887,2.305539513,1.760772629
Gene_5577,2.549914614,2.690540065,2.769468596,2.770906573,2.877553116,2.418389037,2.644807592,2.551631669,2.434379097,2.623721339,2.544032258,2.395604044,2.780617894,2.416283087,2.804792315,2.349354581
Gene_26959,3.015320266,3.159185597,3.278541924,3.303546331,3.259760595,3.120144621,3.049886224,3.05962495,3.068685005,3.379652084,3.367677272,3.169440231,3.535323374,3.350209249,3.302896574,3.222352855
Gene_10466,3.649316858,3.641455922,3.737082897,3.822801309,3.733835799,3.633372516,3.498098086,3.508283154,3.582782199,3.700710798,3.623533246,3.54327017,4.003561347,3.589521002,3.696881607,3.479927409
Gene_2845,1.969126336,1.954806716,1.87279427,2.055310027,2.023147198,1.663349484,1.77772533,1.599266349,1.765681826,2.055721791,1.948969604,1.507871029,2.337135212,1.84941015,1.743101781,1.881631472
Gene_11062,1.80292506,2.025210813,2.063692828,2.101291395,2.032743628,1.74340023,1.807205262,1.674649767,1.7390099,1.962738378,1.783387236,1.679443213,2.217996431,1.685936,1.922252669,1.714884492
Gene_115253422,2.765998442,2.752168275,2.862329513,2.988825345,2.887390605,2.80488431,2.721331201,2.691745496,2.729016187,2.869449279,2.644675409,2.717394825,3.286619661,2.753610814,2.707312162,2.642605978
Gene_55973,2.736874894,2.70951579,2.831474881,2.963736942,2.859546743,2.784310283,2.696310927,2.666302506,2.704405807,2.846449351,2.61741619,2.69405015,3.268827607,2.742966751,2.675620201,2.610585282
Gene_5172,1.835424771,1.777483706,1.714544539,1.968335845,1.978922641,1.8507987,1.540087574,1.587343993,1.484571717,1.70293291,1.615591355,1.602075243,1.942182277,2.056889765,1.965223381,1.204897005
Gene_79872,2.561835189,2.635720577,2.583276421,2.57702643,2.565657535,2.651781161,2.67287838,2.655072657,2.638593481,2.629502619,2.592074739,2.600770754,2.74658056,2.6224119,2.534413648,2.712666828
Gene_1811,1.485944851,1.472737356,1.224622903,1.350373291,1.297815844,1.718321092,1.308914048,1.445685506,1.372422762,1.632919443,1.904118099,1.760060699,0.994554511,1.5142971,1.893063071,1.934345347
Gene_1738,3.638775636,3.706308061,3.894921104,4.003267271,3.906486577,3.624812037,3.728107386,3.689805772,3.429867038,3.847749371,3.741631071,3.522414223,3.972309008,3.376430409,3.516065013,3.487591294
Gene_3912,3.618788006,2.733188106,2.845278222,2.769737954,2.67278312,3.010069749,2.579678008,2.518934786,2.897260591,2.571565118,2.542363465,2.613328767,2.65883533,2.558906373,3.085400408,3.013519216
Gene_4897,4.161108143,3.707789016,3.920018912,3.826410884,3.863327078,3.892870159,3.745337468,3.721376758,3.716134513,3.74647047,3.580330195,3.780080801,3.80851835,3.740429379,3.680939463,4.063600098
Gene_50640,3.093395552,3.090884935,3.259702368,3.340917311,3.199061059,3.161134997,3.018457896,2.986104933,2.958633832,3.240594276,3.125527975,2.993782413,3.675922238,3.043189098,3.166199602,3.053921267
Gene_168451,2.878637552,2.869891007,2.937473713,3.074188579,2.879808557,2.80488431,2.744329874,2.772992377,2.749630351,2.930661077,2.834743004,2.717394825,3.43812888,2.546054468,2.855046097,2.824803083
Gene_4189,2.702833354,2.683799619,2.780332258,2.948887969,2.837301932,2.662187712,2.743010205,2.670315149,2.592946881,2.837846061,2.841512531,2.609182979,3.251357147,2.476916632,2.762875426,2.640313364
Gene_83943,2.138496893,2.124390222,2.018716537,2.070208943,2.113360393,1.988295652,1.955465475,1.940001776,1.94359779,2.120065202,1.986624269,1.928667305,2.145128192,1.862194416,2.156524043,1.802272178
